title,ticker_id,published_at,url,article_id,created_at
lear declares quarterly cash dividend,869,2025-11-20 21:15:19.085835,https://finviz.com/news/235472/lear-declares-quarterly-cash-dividend,,
isabella bank corporation announces fourth quarter 2025 dividend,870,2025-11-20 21:15:19.117994,https://finviz.com/news/235473/isabella-bank-corporation-announces-fourth-quarter-2025-dividend,,
keycorp declares quarterly cash dividend on common shares and preferred stocks,811,2025-11-20 21:15:19.132320,https://finviz.com/news/235474/keycorp-declares-quarterly-cash-dividend-on-common-shares-and-preferred-stocks,,
darden restaurants to host fiscal 2026 second quarter conference call on december 18,871,2025-11-20 21:15:19.138487,https://finviz.com/news/235475/darden-restaurants-to-host-fiscal-2026-second-quarter-conference-call-on-december-18,,
carrier to present at goldman sachs 2025 industrials and materials conference,872,2025-11-20 21:15:19.149603,https://finviz.com/news/235476/carrier-to-present-at-goldman-sachs-2025-industrials-and-materials-conference,,
matthews international reports results for fourth quarter and fiscal year ended september 30 2025,746,2025-11-20 21:15:19.162794,https://finviz.com/news/235477/matthews-international-reports-results-for-fourth-quarter-and-fiscal-year-ended-september-30-2025,,
gap inc reports third quarter fiscal 2025 results raises full year outlook for operating margin,873,2025-11-20 21:15:19.168225,https://finviz.com/news/235478/gap-inc-reports-third-quarter-fiscal-2025-results-raises-full-year-outlook-for-operating-margin,,
kroger announces third quarter conference call with investors,452,2025-11-20 21:15:19.179331,https://finviz.com/news/235479/kroger-announces-third-quarter-conference-call-with-investors,,
wabash announces quarterly dividend,874,2025-11-20 21:15:19.184425,https://finviz.com/news/235480/wabash-announces-quarterly-dividend,,
american coastal insurance corporation to participate in upcoming conferences,875,2025-11-20 21:15:19.195549,https://finviz.com/news/235481/american-coastal-insurance-corporation-to-participate-in-upcoming-conferences,,
dillards inc announces special dividend of 3000 per share and quarterly cash dividend of 030 per share,876,2025-11-20 21:15:19.206662,https://finviz.com/news/235482/dillards-inc-announces-special-dividend-of-3000-per-share-and-quarterly-cash-dividend-of-030-per-share,,
stifel reports october 2025 operating data,877,2025-11-20 21:15:19.216395,https://finviz.com/news/235483/stifel-reports-october-2025-operating-data,,
hawaii water service proposes first rate adjustment for kapalua since 2021 reflects investments made to help improve reliability and maintain safe utility service,878,2025-11-20 21:15:19.228066,https://finviz.com/news/235485/hawaii-water-service-proposes-first-rate-adjustment-for-kapalua-since-2021-reflects-investments-made-to-help-improve-reliability-and-maintain-safe-utility-service,,
esco reports fourth quarter and fiscal 2025 results,879,2025-11-20 21:15:19.244783,https://finviz.com/news/235486/esco-reports-fourth-quarter-and-fiscal-2025-results,,
mfa financial inc announces fourth quarter dividends on series b preferred stock and series c preferred stock,880,2025-11-20 21:15:19.256507,https://www.businesswire.com/news/home/20251117243961/en,,
nike inc declares 041 quarterly dividend,155,2025-11-20 21:15:19.266678,https://www.businesswire.com/news/home/20251120552717/en,,
copart reports first quarter fiscal 2026 financial results,881,2025-11-20 21:15:19.272519,https://www.businesswire.com/news/home/20251120811507/en,,
ugi declares common dividend,882,2025-11-20 21:15:19.284726,https://www.businesswire.com/news/home/20251120876546/en,,
